Objectnummer,street,huisnummer,postcode,city,Country,Longitude,Latitude,maps_url,Province
11921581079,Vronen,168,2151 PH,Nieuw-Vennep,Netherlands,4.6231026,52.259732,"https://www.google.com/maps?q=52.259732,4.6231026",North Holland
11921581080,Kreilerhof,38,2151 PJ,Nieuw-Vennep,Netherlands,4.6273464,52.260472,"https://www.google.com/maps?q=52.260472,4.6273464",North Holland
11921581081,Vronen,92,2151 PE,Nieuw-Vennep,Netherlands,4.6252991,52.2591131,"https://www.google.com/maps?q=52.2591131,4.6252991",North Holland
11921581082,Vronen,134,2151 PG,Nieuw-Vennep,Netherlands,4.6237483,52.259088,"https://www.google.com/maps?q=52.259088,4.6237483",North Holland
11921581083,Oddinkhem,5,2151 RC,Nieuw-Vennep,Netherlands,4.6208771,52.2590122,"https://www.google.com/maps?q=52.2590122,4.6208771",North Holland
11921581084,Kreilerhof,8,2151 PJ,Nieuw-Vennep,Netherlands,4.6267463,52.2606665,"https://www.google.com/maps?q=52.2606665,4.6267463",North Holland
11921581085,Kreilerhof,37,2151 PJ,Nieuw-Vennep,Netherlands,4.6263282,52.2603577,"https://www.google.com/maps?q=52.2603577,4.6263282",North Holland
11921581086,Oddinkhem,24,2151 RD,Nieuw-Vennep,Netherlands,4.6215944,52.2591296,"https://www.google.com/maps?q=52.2591296,4.6215944",North Holland
11921581087,Vronen,162,2151 PH,Nieuw-Vennep,Netherlands,4.6229532,52.2596327,"https://www.google.com/maps?q=52.2596327,4.6229532",North Holland
11921581088,Kreilerhof,2,2151 PJ,Nieuw-Vennep,Netherlands,4.6265684,52.2607629,"https://www.google.com/maps?q=52.2607629,4.6265684",North Holland
11921581089,Vronen,32,2151 PC,Nieuw-Vennep,Netherlands,4.625562,52.2599815,"https://www.google.com/maps?q=52.2599815,4.625562",North Holland
11921581090,Vronen,154,2151 PG,Nieuw-Vennep,Netherlands,4.6231712,52.2593718,"https://www.google.com/maps?q=52.2593718,4.6231712",North Holland
11921581091,Oddinkhem,6,2151 RC,Nieuw-Vennep,Netherlands,4.6208408,52.2589651,"https://www.google.com/maps?q=52.2589651,4.6208408",North Holland
11921581092,Vagerveld,68,2151 ZD,Nieuw-Vennep,Netherlands,4.6235812,52.2602352,"https://www.google.com/maps?q=52.2602352,4.6235812",North Holland
11921581093,Oddinkhem,22,2151 RD,Nieuw-Vennep,Netherlands,4.621563,52.2590154,"https://www.google.com/maps?q=52.2590154,4.621563",North Holland
11921581094,Kreilerhof,44,2151 PJ,Nieuw-Vennep,Netherlands,4.6271848,52.2603697,"https://www.google.com/maps?q=52.2603697,4.6271848",North Holland
11921581095,Vronen,7,2151 PA,Nieuw-Vennep,Netherlands,4.624554,52.260025,"https://www.google.com/maps?q=52.260025,4.624554",North Holland
11921581096,Oddinkhem,20,2151 RD,Nieuw-Vennep,Netherlands,4.6214802,52.2589144,"https://www.google.com/maps?q=52.2589144,4.6214802",North Holland
11921581097,Vronen,11,2151 PA,Nieuw-Vennep,Netherlands,4.6247059,52.2599941,"https://www.google.com/maps?q=52.2599941,4.6247059",North Holland
11921581098,Kreilerhof,36,2151 PJ,Nieuw-Vennep,Netherlands,4.6273823,52.260511,"https://www.google.com/maps?q=52.260511,4.6273823",North Holland
11921581099,Kreilerhof,23,2151 PJ,Nieuw-Vennep,Netherlands,4.6259391,52.2605565,"https://www.google.com/maps?q=52.2605565,4.6259391",North Holland
11921581100,Kreilerhof,40,2151 PJ,Nieuw-Vennep,Netherlands,4.6272913,52.260437,"https://www.google.com/maps?q=52.260437,4.6272913",North Holland
11921581101,Vronen,88,2151 PE,Nieuw-Vennep,Netherlands,4.6253887,52.2591818,"https://www.google.com/maps?q=52.2591818,4.6253887",North Holland
11921581102,Vronen,12,2151 PC,Nieuw-Vennep,Netherlands,4.6249881,52.2602903,"https://www.google.com/maps?q=52.2602903,4.6249881",North Holland
11921581103,Vronen,44,2151 PD,Nieuw-Vennep,Netherlands,4.6264862,52.2599345,"https://www.google.com/maps?q=52.2599345,4.6264862",North Holland
11921581104,Wemmingen,14,2151 RC,Nieuw-Vennep,Netherlands,4.6212097,52.2585256,"https://www.google.com/maps?q=52.2585256,4.6212097",North Holland
11921581105,Kreilerhof,47,2151 PK,Nieuw-Vennep,Netherlands,4.6266351,52.2601828,"https://www.google.com/maps?q=52.2601828,4.6266351",North Holland
11921581106,Oddinkhem,7,2151 RC,Nieuw-Vennep,Netherlands,4.6207951,52.2589087,"https://www.google.com/maps?q=52.2589087,4.6207951",North Holland
11921581107,Oddinkhem,2,2151 RC,Nieuw-Vennep,Netherlands,4.6210153,52.2591831,"https://www.google.com/maps?q=52.2591831,4.6210153",North Holland
11921581108,Vronen,53,2151 PB,Nieuw-Vennep,Netherlands,4.6246071,52.2592177,"https://www.google.com/maps?q=52.2592177,4.6246071",North Holland
11921581109,Vronen,176,2151 PH,Nieuw-Vennep,Netherlands,4.6237131,52.2596826,"https://www.google.com/maps?q=52.2596826,4.6237131",North Holland
11921581110,Vronen,172,2151 PH,Nieuw-Vennep,Netherlands,4.6236663,52.2595844,"https://www.google.com/maps?q=52.2595844,4.6236663",North Holland
11921581111,Kreilerhof,20,2151 PJ,Nieuw-Vennep,Netherlands,4.6267894,52.2609202,"https://www.google.com/maps?q=52.2609202,4.6267894",North Holland
11921581112,Kreilerhof,34,2151 PJ,Nieuw-Vennep,Netherlands,4.6272089,52.2606963,"https://www.google.com/maps?q=52.2606963,4.6272089",North Holland
11921581113,Oddinkhem,4,2151 SP,Nieuw-Vennep,Netherlands,4.6216251,52.2599744,"https://www.google.com/maps?q=52.2599744,4.6216251",North Holland
11921581114,Vronen,100,2151 PE,Nieuw-Vennep,Netherlands,4.6251203,52.2589662,"https://www.google.com/maps?q=52.2589662,4.6251203",North Holland
11921581115,Vronen,11,2151 PA,Nieuw-Vennep,Netherlands,4.6246669,52.2599647,"https://www.google.com/maps?q=52.2599647,4.6246669",North Holland
11921581116,Vronen,66,2151 PD,Nieuw-Vennep,Netherlands,4.6259533,52.2595564,"https://www.google.com/maps?q=52.2595564,4.6259533",North Holland
11921581117,Oddinkhem,28,2151 RD,Nieuw-Vennep,Netherlands,4.6216075,52.2593358,"https://www.google.com/maps?q=52.2593358,4.6216075",North Holland
11921581118,Vronen,110,2151 PG,Nieuw-Vennep,Netherlands,4.6245745,52.2586525,"https://www.google.com/maps?q=52.2586525,4.6245745",North Holland
11921581119,Oddinkhem,10,2151 RC,Nieuw-Vennep,Netherlands,4.6207102,52.2587496,"https://www.google.com/maps?q=52.2587496,4.6207102",North Holland
11921581120,Kreilerhof,14,2151 PJ,Nieuw-Vennep,Netherlands,4.6269061,52.2605716,"https://www.google.com/maps?q=52.2605716,4.6269061",North Holland
11921581121,Kreilerhof,36,2151 PJ,Nieuw-Vennep,Netherlands,4.627575,52.2607394,"https://www.google.com/maps?q=52.2607394,4.627575",North Holland
11921581122,Kreilerhof,45,2151 PK,Nieuw-Vennep,Netherlands,4.6265893,52.2602094,"https://www.google.com/maps?q=52.2602094,4.6265893",North Holland
11921581123,Vronen,40,2151 PC,Nieuw-Vennep,Netherlands,4.6257737,52.2598546,"https://www.google.com/maps?q=52.2598546,4.6257737",North Holland
11921581124,Kreilerhof,12,2151 PJ,Nieuw-Vennep,Netherlands,4.626847,52.2606037,"https://www.google.com/maps?q=52.2606037,4.626847",North Holland
11921581125,Vronen,96,2151 PE,Nieuw-Vennep,Netherlands,4.6251981,52.2590278,"https://www.google.com/maps?q=52.2590278,4.6251981",North Holland
11921581126,Kreilerhof,10,2151 PJ,Nieuw-Vennep,Netherlands,4.626786,52.2606367,"https://www.google.com/maps?q=52.2606367,4.626786",North Holland
11921581127,Vronen,180,2151 PH,Nieuw-Vennep,Netherlands,4.623811,52.259748,"https://www.google.com/maps?q=52.259748,4.623811",North Holland
11921581128,Vronen,56,2151 PD,Nieuw-Vennep,Netherlands,4.6261799,52.2597386,"https://www.google.com/maps?q=52.2597386,4.6261799",North Holland
11921581129,Vronen,28,2151 PC,Nieuw-Vennep,Netherlands,4.6254492,52.2600438,"https://www.google.com/maps?q=52.2600438,4.6254492",North Holland
11921581130,Vronen,130,2151 PG,Nieuw-Vennep,Netherlands,4.6239849,52.258944,"https://www.google.com/maps?q=52.258944,4.6239849",North Holland
11921581131,Kreilerhof,4,2151 PJ,Nieuw-Vennep,Netherlands,4.6266211,52.2607302,"https://www.google.com/maps?q=52.2607302,4.6266211",North Holland
11921581132,Oddinkhem,11,2151 RC,Nieuw-Vennep,Netherlands,4.6206772,52.2587012,"https://www.google.com/maps?q=52.2587012,4.6206772",North Holland
11921581133,Vronen,62,2151 PD,Nieuw-Vennep,Netherlands,4.6260313,52.2596327,"https://www.google.com/maps?q=52.2596327,4.6260313",North Holland
11921581134,Oddinkhem,19,2151 RD,Nieuw-Vennep,Netherlands,4.621432,52.2588558,"https://www.google.com/maps?q=52.2588558,4.621432",North Holland
11921581135,Oddinkhem,9,2151 RC,Nieuw-Vennep,Netherlands,4.6207548,52.2588043,"https://www.google.com/maps?q=52.2588043,4.6207548",North Holland
11921581136,Vagerveld,53,2151 ZD,Nieuw-Vennep,Netherlands,4.6243291,52.2607389,"https://www.google.com/maps?q=52.2607389,4.6243291",North Holland
11921581137,Vronen,180,2151 PH,Nieuw-Vennep,Netherlands,4.6238631,52.2597275,"https://www.google.com/maps?q=52.2597275,4.6238631",North Holland
